study,dataset,method,seed,case,kind,wait,mse,nmse,difference_error,difference_target_energy,difference_output_energy,repeat_mse,wrong_mse,wrong_ratio,repeat_vs_difference,source_file,source_pointer
pi4,screen,free_mse,733,reset_ring4,reset,0,0.04068658873455173,0.1491589297404476,1.0002206547340862,0.06332779317069659,6.218510417866776e-06,6.83494670836128e-05,0.04068271120101536,0.9999046975021262,0.0010792965246614636,results/source_records/pi4/run/summary.json,/records/68
pi4,screen,free_mse,733,reset_ring4,reset,256,0.039757364629669834,0.14575235088279306,1.0000105007280962,0.06332779317069659,8.240099539602304e-09,8.75036573059737e-08,0.03975703625574189,0.9999917405509393,1.3817575652780508e-06,results/source_records/pi4/run/summary.json,/records/69
pi4,screen,free_mse,733,reset_null,reset,0,0.055961107813926915,0.2051560282694981,,0.0,0.0,8.709758920478018e-05,0.055961107813926915,1.0,,results/source_records/pi4/run/summary.json,/records/70
pi4,screen,free_mse,733,reset_null,reset,256,0.05443749525855037,0.199570393661943,,0.0,0.0,5.1002749657388206e-08,0.05443749525855037,1.0,,results/source_records/pi4/run/summary.json,/records/71
pi4,screen,free_mse,739,ring4,general,0,0.02192805183664991,0.02936777802973733,,,,2.4132476498470027e-05,0.021967549145000247,1.001801222864875,,results/source_records/pi4/run/summary.json,/records/72
pi4,screen,free_mse,739,ring8,general,0,0.01724729150906183,0.023098934297744015,,,,2.593863779672848e-05,0.017142029439155045,0.9938968927468131,,results/source_records/pi4/run/summary.json,/records/73
pi4,screen,free_mse,739,long8,general,0,0.10606186944337136,0.14204642812937546,,,,2.7379690366027583e-05,0.10589483818999601,0.9984251526561624,,results/source_records/pi4/run/summary.json,/records/74
pi4,screen,free_mse,739,reset_iso,reset,0,0.04377730061231666,0.1604896234693129,1.0008333820288255,0.08296559125478338,2.082660909825518e-06,2.7976127572105594e-05,0.04374377092652441,0.9992340851234939,0.00033720156933724773,results/source_records/pi4/run/summary.json,/records/75
pi4,screen,free_mse,739,reset_iso,reset,256,0.044192648664787414,0.16201230877921957,1.0000127992805503,0.08296559125478338,4.663904743856097e-09,5.904066667076514e-08,0.044192120046804055,0.9999880383276556,7.116283483047094e-07,results/source_records/pi4/run/summary.json,/records/76
pi4,screen,free_mse,739,reset_ring4,reset,0,0.033698146444706374,0.12353897473987017,0.9997857760342723,0.06332779317069659,3.4250063621052703e-06,2.5609550776265204e-05,0.033706642113232536,1.0002521108554177,0.0004043967031542701,results/source_records/pi4/run/summary.json,/records/77
pi4,screen,free_mse,739,reset_ring4,reset,256,0.033540405020274694,0.12296068732930673,0.9999985824477672,0.06332779317069659,1.6482270434089233e-08,1.3407001852567865e-07,0.03354045814662784,1.0000015839508531,2.117080223596301e-06,results/source_records/pi4/run/summary.json,/records/78
pi4,screen,free_mse,739,reset_null,reset,0,0.03780694184656184,0.13860201009684467,,0.0,0.0,2.5352574656687264e-05,0.03780694184656184,1.0,,results/source_records/pi4/run/summary.json,/records/79
pi4,screen,free_mse,739,reset_null,reset,256,0.0382871377446451,0.14036243062979112,,0.0,0.0,5.389916804482487e-08,0.0382871377446451,1.0,,results/source_records/pi4/run/summary.json,/records/80
pi4,screen,free_behavior,727,ring4,general,0,0.027262558094989134,0.03651216991918506,,,,0.00032135289350083274,0.026980286527642127,0.9896461819040052,,results/source_records/pi4/run/summary.json,/records/81
pi4,screen,free_behavior,727,ring8,general,0,0.0255048540697685,0.0341581139346776,,,,0.00022404114709111093,0.025871279207638893,1.014366878432946,,results/source_records/pi4/run/summary.json,/records/82
pi4,screen,free_behavior,727,long8,general,0,0.25243131015061865,0.33807593759280957,,,,0.0009244880280785328,0.2542023751523388,1.0070160274518378,,results/source_records/pi4/run/summary.json,/records/83
pi4,screen,free_behavior,727,reset_iso,reset,0,0.09684940452897738,0.35505442886329225,0.9937766547454214,0.08296559125478338,4.698388322631501e-05,0.0002878580836510734,0.0971310582282186,1.002908161393568,0.003469608054344782,results/source_records/pi4/run/summary.json,/records/84
pi4,screen,free_behavior,727,reset_iso,reset,256,0.10094554321261319,0.37007106410164325,1.0001671300573614,0.08296559125478338,3.0554512025588814e-08,1.8723747993399974e-07,0.10093862546789606,0.9999314705285942,2.2568088421018102e-06,results/source_records/pi4/run/summary.json,/records/85
pi4,screen,free_behavior,727,reset_ring4,reset,0,0.07654732740678231,0.2806260683336956,0.9901552932114568,0.06332779317069659,3.688286145175589e-05,0.00030390456779282705,0.07687749061519972,1.0043131905397935,0.004798912966596972,results/source_records/pi4/run/summary.json,/records/86
pi4,screen,free_behavior,727,reset_ring4,reset,256,0.07845554229669971,0.2876216730168956,1.0002350360020618,0.06332779317069659,2.450057048389063e-08,2.014216528388883e-07,0.07844811239132925,0.9999052978903343,3.1806201156570747e-06,results/source_records/pi4/run/summary.json,/records/87
pi4,screen,free_behavior,727,reset_null,reset,0,0.07954693090584633,0.29162275450183667,,0.0,0.0,0.0004567121115585853,0.07954693090584633,1.0,,results/source_records/pi4/run/summary.json,/records/88
pi4,screen,free_behavior,727,reset_null,reset,256,0.08221076048801164,0.3013884778481466,,0.0,0.0,2.930262787880678e-07,0.08221076048801164,1.0,,results/source_records/pi4/run/summary.json,/records/89
pi4,screen,free_behavior,733,ring4,general,0,0.021200865292434302,0.028393872405296852,,,,0.00011009134425025357,0.02116083409481243,0.9981118130288692,,results/source_records/pi4/run/summary.json,/records/90
pi4,screen,free_behavior,733,ring8,general,0,0.015773685376542054,0.021125364637954662,,,,8.53520258520764e-05,0.015851755400106124,1.0049493838440682,,results/source_records/pi4/run/summary.json,/records/91
pi4,screen,free_behavior,733,long8,general,0,0.11733205736765003,0.15714035347118127,,,,8.888736952289541e-05,0.117577825470701,1.002094637293207,,results/source_records/pi4/run/summary.json,/records/92
pi4,screen,free_behavior,733,reset_iso,reset,0,0.04861496635340173,0.17822473144531037,1.0013196225564716,0.08296559125478338,7.773679150680728e-06,5.829018694956583e-05,0.04856411155962418,0.9989539272040658,0.0007025826739492454,results/source_records/pi4/run/summary.json,/records/93
pi4,screen,free_behavior,733,reset_iso,reset,256,0.0483692046801232,0.17732375770193246,1.000028885395318,0.08296559125478338,6.434267028600405e-09,4.7094507633861486e-08,0.04836800965028797,0.9999752935810475,5.676390286816193e-07,results/source_records/pi4/run/summary.json,/records/94
pi4,screen,free_behavior,733,reset_ring4,reset,0,0.041741776090925276,0.15302729574623838,1.00072316251466,0.06332779317069659,1.0751623181797518e-05,6.681747703472691e-05,0.04172425375935717,0.9995802207474369,0.0010551050919242373,results/source_records/pi4/run/summary.json,/records/95
pi4,screen,free_behavior,733,reset_ring4,reset,256,0.040749919896265765,0.1493911047296588,0.9999919269175478,0.06332779317069659,1.010512212377085e-08,6.508330451499103e-08,0.04075018057407098,1.00000639701393,1.0277210251044524e-06,results/source_records/pi4/run/summary.json,/records/96
pi4,screen,free_behavior,733,reset_null,reset,0,0.05853726023565555,0.21460032306108848,,0.0,0.0,9.726301931202687e-05,0.05853726023565555,1.0,,results/source_records/pi4/run/summary.json,/records/97
pi4,screen,free_behavior,733,reset_null,reset,256,0.05626973956436604,0.20628748664463406,,0.0,0.0,7.753079318881525e-08,0.05626973956436604,1.0,,results/source_records/pi4/run/summary.json,/records/98
pi4,screen,free_behavior,739,ring4,general,0,0.02180157860477094,0.02919839509375224,,,,4.953746308699518e-05,0.021825859428791408,1.0011137186192176,,results/source_records/pi4/run/summary.json,/records/99
pi4,screen,free_behavior,739,ring8,general,0,0.017224776042012797,0.023068779806891038,,,,5.2392004851968825e-05,0.017145402004574994,0.995391868245822,,results/source_records/pi4/run/summary.json,/records/100
pi4,screen,free_behavior,739,long8,general,0,0.10708960081941506,0.14342284711774186,,,,5.7951261713430944e-05,0.10699061995749941,0.999075719200013,,results/source_records/pi4/run/summary.json,/records/101
pi4,screen,free_behavior,739,reset_iso,reset,0,0.04436132525409903,0.16263068501366224,1.001069024704979,0.08296559125478338,5.673368013511382e-06,4.9367101358609816e-05,0.04431981580469482,0.999064287435814,0.0005950310316840364,results/source_records/pi4/run/summary.json,/records/102
pi4,screen,free_behavior,739,reset_iso,reset,256,0.04456561780917257,0.16337963103780592,1.0000410980148542,0.08296559125478338,1.2852810505131404e-08,1.1039900505989694e-07,0.0445639193750215,0.9999618891370845,1.3306601374160869e-06,results/source_records/pi4/run/summary.json,/records/103
pi4,screen,free_behavior,739,reset_ring4,reset,0,0.03397916755155148,0.12456921120931141,1.0001220734146872,0.06332779317069659,7.346715254523747e-06,5.282884074197751e-05,0.033978975589040505,0.9999943505822888,0.0008342125644514451,results/source_records/pi4/run/summary.json,/records/104
pi4,screen,free_behavior,739,reset_ring4,reset,256,0.03368180601423066,0.12347906996050521,0.999987180159551,0.06332779317069659,3.9652576218385325e-08,2.8649160773458077e-07,0.03368223176661217,1.0000126404261496,4.52394743903926e-06,results/source_records/pi4/run/summary.json,/records/105
pi4,screen,free_behavior,739,reset_null,reset,0,0.03774287414979615,0.13836713493582165,,0.0,0.0,5.4406396500938135e-05,0.03774287414979615,1.0,,results/source_records/pi4/run/summary.json,/records/106
pi4,screen,free_behavior,739,reset_null,reset,256,0.03810615314760932,0.13969893266564654,,0.0,0.0,1.241004694859351e-07,0.03810615314760932,1.0,,results/source_records/pi4/run/summary.json,/records/107
pi4,screen,ode_behavior,727,ring4,general,0,0.027167354041972226,0.03638466513593483,,,,2.6805659781570112e-05,0.027308284422115914,1.0051874901002857,,results/source_records/pi4/run/summary.json,/records/108
pi4,screen,ode_behavior,727,ring8,general,0,0.0247651420171914,0.03316743316067026,,,,2.7546113963693388e-05,0.024797381127742924,1.001301793889538,,results/source_records/pi4/run/summary.json,/records/109
pi4,screen,ode_behavior,727,long8,general,0,0.3386239495272531,0.45351192433101495,,,,0.0005493201930664838,0.3378749356486168,0.9977880658480242,,results/source_records/pi4/run/summary.json,/records/110
pi4,screen,ode_behavior,727,reset_iso,reset,0,0.0708186091369336,0.2596243202763674,0.9989360752182197,0.08296559125478338,7.290149315714827e-05,0.0004245950947807257,0.07089919445620724,1.0011379116344663,0.005117725172075425,results/source_records/pi4/run/summary.json,/records/111
pi4,screen,ode_behavior,727,reset_iso,reset,256,0.06976838393546077,0.2557741457616113,0.9995804787407843,0.08296559125478338,6.43837613961984e-05,0.00036232918820920814,0.06981797872925226,1.0007108491123626,0.004367222395806383,results/source_records/pi4/run/summary.json,/records/112
pi4,screen,ode_behavior,727,reset_ring4,reset,0,0.07039580792149014,0.2580743113237871,0.9975127612617708,0.06332779317069659,8.74784078575124e-05,0.0005167090583807397,0.07051830279546079,1.0017400876215137,0.008159277822740148,results/source_records/pi4/run/summary.json,/records/113
pi4,screen,ode_behavior,727,reset_ring4,reset,256,0.0693317327769192,0.2541733622724151,1.0008178033560722,0.06332779317069659,7.340941734417665e-05,0.00042083319487553613,0.0693425426445043,1.0001559151510013,0.006645315963264398,results/source_records/pi4/run/summary.json,/records/114
pi4,screen,ode_behavior,727,reset_null,reset,0,0.09942992864051321,0.36451475047337684,,0.0,0.0,0.0005206836757619375,0.09942992864051321,1.0,,results/source_records/pi4/run/summary.json,/records/115
pi4,screen,ode_behavior,727,reset_null,reset,256,0.09725834663569133,0.3565536296776249,,0.0,0.0,0.0004629511232860674,0.09725834663569133,1.0,,results/source_records/pi4/run/summary.json,/records/116
pi4,screen,ode_behavior,733,ring4,general,0,0.031075938183292757,0.04161934956334949,,,,9.528827913959941e-05,0.03126815527548099,1.0061853994899363,,results/source_records/pi4/run/summary.json,/records/117
pi4,screen,ode_behavior,733,ring8,general,0,0.02373337528726779,0.03178560970783525,,,,0.00012067006484104532,0.023522174352416245,0.9911010999364743,,results/source_records/pi4/run/summary.json,/records/118
pi4,screen,ode_behavior,733,long8,general,0,0.3094708213302337,0.41446775368875216,,,,0.0001974614951220975,0.3104655168249353,1.003214181842495,,results/source_records/pi4/run/summary.json,/records/119
pi4,screen,ode_behavior,733,reset_iso,reset,0,0.06171429260644121,0.22624747173872425,0.9985484204676317,0.08296559125478338,1.9796136992132548e-05,0.00015683283739514493,0.061784406251873085,1.0011361006092867,0.0018903359214727797,results/source_records/pi4/run/summary.json,/records/120
