study,dataset,method,case,wait,n_initializations,mse_median,nmse_median,difference_error_median,repeat_mse_median,wrong_ratio_median,repeat_vs_difference_median
c1,d01,free_behavior,reset_ring4,0,3,0.04582432804774896,0.17393819347435066,0.9990973084015808,0.0003152603658302654,1.001386956758289,0.0033666413307440585
c1,d01,free_behavior,reset_ring4,256,3,0.04540703738027738,0.17235425786752448,1.0000525625161858,1.6515268061660312e-06,0.9999466124852587,1.7636528428898104e-05
c1,d01,free_behavior,ring4,0,3,0.02226264602548519,0.03178944391515894,,0.00013469315221491569,1.0065017410459516,
c1,d01,free_behavior,ring8,0,3,0.01981591155032478,0.02829568453523804,,0.00012424462201672908,1.0043382181034102,
c1,d01,free_mse,long8,0,3,0.10364357874306813,0.14799551364412972,,6.366351879580821e-05,1.0006240062685783,
c1,d01,free_mse,reset_iso,0,3,0.06897515183038687,0.2618131855964202,0.9974711516769121,3.282805128624616e-05,1.0015101062549094,0.00036969380914724886
c1,d01,free_mse,reset_iso,256,3,0.06717268048822408,0.2549714353209247,0.9999668451124442,6.897332892814352e-08,1.0000198390828703,7.767446346014064e-07
c1,d01,free_mse,reset_null,0,3,0.03852207258751631,0.1462205775887976,,2.5783656782971234e-05,1.0,
c1,d01,free_mse,reset_null,256,3,0.03843683135192655,0.14589702223818657,,5.7189375905899435e-08,1.0,
c1,d01,free_mse,reset_ring4,0,3,0.04588168623985678,0.17415591145825196,1.0001148258725865,3.140375311704844e-05,0.9999349678200471,0.0003353582772953443
c1,d01,free_mse,reset_ring4,256,3,0.0455561736655703,0.1729203435506205,1.000040345129596,9.015888044415163e-08,0.99995873792953,9.627997875264586e-07
c1,d01,free_mse,ring4,0,3,0.022270786431724702,0.03180106782488204,,8.275404329322854e-05,1.0080647853209888,
c1,d01,free_mse,ring8,0,3,0.019658570308054322,0.028071012652525967,,7.495515921066813e-05,1.0163877878078098,
c1,d01,ode_behavior,long8,0,3,0.36433774303988353,0.5202478732888872,,0.0007568336771553568,0.9997370190350515,
c1,d01,ode_behavior,reset_iso,0,3,0.15990680476360886,0.6069679999640305,0.9966186328128719,0.0006675355864383444,1.0015500098588874,0.007517466435637261
c1,d01,ode_behavior,reset_iso,256,3,0.15931005267480097,0.6047028717078969,0.9970946336650309,0.0005289269273344295,1.0013029420002648,0.0059565220250749505
c1,d01,ode_behavior,reset_null,0,3,0.05342724017631559,0.20279703019115158,,0.0007388991558073127,1.0,
c1,d01,ode_behavior,reset_null,256,3,0.05322205662997922,0.20201820250505392,,0.0004507370820978748,1.0,
c1,d01,ode_behavior,reset_ring4,0,3,0.0808290883231292,0.3068078944541001,1.0041810401039795,0.0007325489310335695,0.9985809504510832,0.007822833997908256
c1,d01,ode_behavior,reset_ring4,256,3,0.08072620973733546,0.3064173919388966,1.0009370782840887,0.0006183377700727276,1.0000568352171118,0.006603181746632084
c1,d01,ode_behavior,ring4,0,3,0.032337163018074815,0.04617512352133072,,0.00013751403655389192,1.0041075400075807,
c1,d01,ode_behavior,ring8,0,3,0.028452130866308073,0.04062757937245472,,0.00014306213705740322,0.9929528177379154,
c1,d02,fixed_behavior,long8,0,3,0.14381818596648563,0.20712905564257636,,0.07604873285605172,1.2930117806716,
c1,d02,fixed_behavior,reset_iso,0,3,0.06405286530986459,0.23579786026666616,0.4576021881442506,0.05337195841780048,1.560734350860925,0.4820995486614093
c1,d02,fixed_behavior,reset_iso,256,3,0.06407548165153772,0.23588111782193374,0.45718712321748783,0.053769275319471656,1.5632932108299828,0.48568844261714134
c1,d02,fixed_behavior,reset_null,0,3,0.04317017320685404,0.1589223904391025,,0.03440863233391868,1.0,
c1,d02,fixed_behavior,reset_null,256,3,0.043051382416581525,0.15848508581533366,,0.034316932806881806,1.0,
c1,d02,fixed_behavior,reset_ring4,0,3,0.06116375796070559,0.2251621872531831,0.5509667215126849,0.037534971659818575,1.4485921787260456,0.4314652176391277
c1,d02,fixed_behavior,reset_ring4,256,3,0.060956949670900366,0.22440086374352317,0.5501642280153592,0.03761522014903599,1.4534024650061885,0.4323876755586169
c1,d02,fixed_behavior,ring4,0,3,0.029139511574822984,0.04196715091223241,,0.004882815840597691,1.259365043175381,
c1,d02,fixed_behavior,ring8,0,3,0.025527489722861896,0.03676506419330109,,0.007960372936331393,1.1898924400151412,
c1,d02,fixed_mse,long8,0,3,0.1326607075796223,0.19105989202399196,,0.0019015657890116319,1.0061264949552677,
c1,d02,fixed_mse,reset_iso,0,3,0.05428340884730278,0.19983355299178684,0.9777700966415511,0.0008352475596543257,1.0170890278540592,0.0075446448559698285
c1,d02,fixed_mse,reset_iso,256,3,0.05423103846779114,0.19964076187509816,0.9766398295164789,0.0007551409449394832,1.0179680365889663,0.0068210558413696306
c1,d02,fixed_mse,reset_null,0,3,0.03496691127384099,0.1287237162400019,,0.001716492320660812,1.0,
c1,d02,fixed_mse,reset_null,256,3,0.03521504111251697,0.12963715679797017,,0.0016255590130861324,1.0,
c1,d02,fixed_mse,reset_ring4,0,3,0.05441054845369331,0.20030159211848325,0.9973365464826812,0.0009832711661763107,1.0023005599597012,0.011302720874748928
c1,d02,fixed_mse,reset_ring4,256,3,0.054125061443057364,0.19925062857584974,0.9968520592934781,0.0009180516559847525,1.00252200718679,0.010553021356812646
c1,d02,fixed_mse,ring4,0,3,0.029193341924787036,0.042044678169846146,,0.00018144089556071345,1.004098830464019,
c1,d02,fixed_mse,ring8,0,3,0.02584730384088189,0.03722566516529556,,0.0002079713188244741,1.019306847008701,
c1,d02,free_behavior,long8,0,3,0.16745832605638325,0.24117593128054168,,0.0013573138382351527,1.0032578559503267,
c1,d02,free_behavior,reset_iso,0,3,0.06283814283931716,0.23132610154069375,0.9909640924844821,0.0007384022547655158,1.0081646002545184,0.006669858185947614
c1,d02,free_behavior,reset_iso,256,3,0.06806462303342314,0.2505663469307232,0.9999532239168953,5.645310413374234e-07,1.0000380445039163,5.0993099804139296e-06
c1,d02,free_behavior,reset_null,0,3,0.06463496948678393,0.23794076080212012,,0.0006612849998620462,1.0,
c1,d02,free_behavior,reset_null,256,3,0.07302502956253452,0.26882709514173464,,5.874069026621001e-07,1.0,
c1,d02,free_behavior,reset_ring4,0,3,0.056148117266327464,0.20669810546887238,1.0007291398896638,0.0005332660692042668,0.9996058973886673,0.00612990367207575
c1,d02,free_behavior,reset_ring4,256,3,0.061541570745837854,0.22655302973750607,0.9997416948482413,1.260601981570551e-06,1.000223224072054,1.449064390574479e-05
c1,d02,free_behavior,ring4,0,3,0.02448124564366283,0.035258248162770435,,0.0007677404219888408,1.0183233940780196,
c1,d02,free_behavior,ring8,0,3,0.023958847616683893,0.03450588288107437,,0.0007194208668135312,1.0285401287013594,
c1,d02,free_mse,long8,0,3,0.145077435501101,0.20894264524649486,,7.000424935815762e-05,1.0001446357847021,
c1,d02,free_mse,reset_iso,0,3,0.06062465830074958,0.22317759927771688,1.0002563420068729,4.399754154069858e-05,0.9998537200892261,0.0003974220835769086
c1,d02,free_mse,reset_iso,256,3,0.06512132264720072,0.23973117304996294,0.9999994954033145,4.1489986746969383e-08,1.0000008252443544,3.7477178049383097e-07
c1,d02,free_mse,reset_null,0,3,0.05011466847884174,0.1844871660013675,,4.39698604995972e-05,1.0,
c1,d02,free_mse,reset_null,256,3,0.05092042509111258,0.1874533984118936,,4.799250179521071e-08,1.0,
c1,d02,free_mse,reset_ring4,0,3,0.05589047439803264,0.20574964458795797,1.0003935647722448,4.0028869442246094e-05,0.999663198140401,0.0004601326203806815
c1,d02,free_mse,reset_ring4,256,3,0.05944670473740401,0.2188411979569222,0.9999849308250076,7.87277980042657e-08,1.0000108339300726,9.049775448884398e-07
c1,d02,free_mse,ring4,0,3,0.025443807603528535,0.036644543980678415,,7.573238123557035e-05,0.9894467364738685,
c1,d02,free_mse,ring8,0,3,0.023777381606973586,0.03424453287884807,,6.986652407039167e-05,1.0030120427140647,
c1,d02,ode_behavior,long8,0,3,0.32290247160450175,0.4650488640127897,,0.000629682998276283,1.0006539806082153,
c1,d02,ode_behavior,reset_iso,0,3,0.07990145129128519,0.2941412715191168,0.9994257483954794,0.0007102595426488962,1.0005729033539137,0.006415649998507272
c1,d02,ode_behavior,reset_iso,256,3,0.07924003764457092,0.29170640897406247,0.9981436042984766,0.0005373512183550363,1.0023668848634832,0.004853799401807626
c1,d02,ode_behavior,reset_null,0,3,0.05491275559835846,0.20215036765022262,,0.0003958633673463026,1.0,
c1,d02,ode_behavior,reset_null,256,3,0.05445889382242094,0.20047956596000666,,0.0003008169279128158,1.0,
c1,d02,ode_behavior,reset_ring4,0,3,0.0848159952061509,0.31223318565450875,0.9993767457313181,0.0005995692158016177,1.0015124922942946,0.0068920596112371346
c1,d02,ode_behavior,reset_ring4,256,3,0.08433314531338719,0.3104556699884588,1.001218346111809,0.0004621701360762209,0.9997434766709502,0.005312654560011349
